,Date,Place,Address,City,State,County,Neighborhood,category,Note ,Score,anything special,alcohol,smoking,eat in,bathroom,parking,cash only,sizes,cost,roll,who's,roll s,meat ,meat s,cheese,cheese s,extras,extras s,overall,overall s,SCORE,Unnamed: 31,Instagram,YouTube,location,geo,latitude,longitude
403,10/30/2019,Stoli's steaks,13023 Bustleton Ave,Philadelphia,PA,Philadelphia County,northeast philly,sandwich shop,"This is a cheesesteak aficionados cheesesteak. Roll, meat and cheese is all you need to order. They do a great job of seasoning the meat. It is a thicker slice and he purposely does not chop it fine. There's a couple stools if you want to eat there. Not much more to say. This is a very good cheese steak. Very good corropolese roll. Very good season meat that you get to bite into. Good amount of cheese. You can tell when you are ordering that they are trying very hard to make sure everyone gets a great cheesesteak. Very good overall experience.",89,,no,no,some stools,out of order,yes,no,1,$9.50,very good roll,Corropolesse,19,"thick slice, chopped but left pieces big.  very well seasoned",19,"good cheese, melted on top, I would prefer a better mix in",17,"IDK, verything was seasoned so well I had higher hopes for the mushrooms",17,"nice place, very nice hard worker owner.He is clearly trying hard to give everyone a great eating experience.",17,89,,,,"13023 Bustleton Ave, Philadelphia PA","13023 Bustleton Avenue, Philadelphia, Pennsylvania 19116, United States",40.123878,-75.014855
404,10/31/2019,Johnny Paisano's,226 Baltimore Pike,Springfield,PA,Delaware County,,sandwich shop,"This is the best cheesesteak no one is talking about. I knew it was going to be a special day because I was with special guest eater Michael Opelka. This was Cheesesteak #400. Three Springfield police officers were eating at Johnny's. This was such a great experience I do not know where to begin. Johnny Paisano’s very unassuming place tucked away between a bunch of other stores on Baltimore Pike. The roll was an amazing sesame seed roll. The meat was chopped, tender, juicy and a pleasure to eat. The fried onions and peppers were nice big chunks and I love nice big chunks, especially when they're flavorful and they sat on the grill for a little bit so they blended in well with everything else. Very good amount of cheese and it was melted perfectly into the whole cheesesteak. This is one of those times were great ingredients meet a talented caring person that knows how to put them together. ‘Brotherly love’ is the secret ingredient in great cheesesteaks. Thank you Michael Opelka! You were a pleasure to have on the adventure.",93,,no,no,yes,?,spot or 2,no,1,$8.95,Amazing,,19,"meat was amazing, easy to eat and flavorful",19,very good amount and melt,18,big chunks and I like big chunks,18,love this place.  johnny comes out and says to everyone.  the Springfield police eat here.,19,93,,,,"226 Baltimore Pike, Springfield PA","226 East Baltimore Pike, Springfield, Pennsylvania 19064, United States",39.92298,-75.317869
405,11/1/2019,Jems Deli,20 E Woodland Ave,Springfield,PA,Delaware County,,sandwich shop,"This was a very good cheesesteak. It ended up traveling pretty far and held up really well. Jem’s is takeout only and I didn't see any microbrews nearby where I could eat. $9.49 before tax. It is a good size. Liscio's roll, so you know that was good. The meat was a thicker slice and a bigger chop. It was a very good eating meat. The cheese had a good amount and melted through nicely. The extras disappointed me. Seeing Deli and Catering in the name I was expecting the extras to be a little nicer. The mushroom were visible but I just didn't taste them. With all that said it was still a darn good cheesesteak.",88,,no,no,no,no,yes,no,1 ?,$9.49,very good roll,Liscio,19,thicker slice and chop.  very good eating meat,18,very good amount and melt,18,mushrooms did not add any flavor.  extra were a little weak for a deli/caterer,15,take out only.  like the $9.49. ,18,88,,,,"20 E Woodland Ave, Springfield PA","20 East Woodland Avenue, Springfield, Pennsylvania 19064, United States",39.923933,-75.339363
406,11/2/2019,Philly's Gourmet Steaks,114 Market St,Philadephia,PA,Philadelphia County,Old City,sandwich shop,"This is the best cheesesteak on Market Street that no one is eating.  I'm not saying it's better than Oh Brother.  I am saying there's a line out the door at Campos and Sonny's, you go another block and here's a place that’s big, bright, clean and a very good cheesesteak.  Even though I constantly complain to Carole about guest eaters she insisted we get the mushroom cheese steak with bacon and sriracha sauce, it was heavenly.  This cheesesteak smelled great, felt great and tasted great.  This was a great example of great ingredients working together in unison to make a great cheesesteak.  Can of beer was $4, plenty of seating and big bathroom, all things I love.  Great overall experience.",91,,"yes, beer",no,yes,yes,no,no,1 ?,$10.00,very good soft roll,?,19,nice chop and played well with everything else. wish there was more,18,provolone.  best provolone cheese melt i have ever seen,18,very tasty and everyone placed nicely together,18,"for $10 it was a little small but were in old city.  can of beer was $4, I did like that. big clean place with plenty of seating.",18,91,,,,"114 Market St, Philadephia PA","114 Market Street, Philadelphia, Pennsylvania 19106, United States",39.949532,-75.142855
407,11/2/2019,The Wander Inn,2500 S 3rd St,Philadelphia,PA,Philadelphia County,south philly,Bar/restaurant,"I was really looking forward to Wander Inn. They post a lot of great stuff online. I don't know what happened but the Cheesesteak just didn't work for us. The Cheesesteak came with house cut fries and house made dipping sauce, which was amazing. We got the house made beer cheese whiz on the cheesesteak, the Wiz was amazing. Specialty roll from a small bakery in North Philly but didn't hold together. We missed the Saturday food/drink specials but got to hear about every weekday food/drink special. You'll hear in the video they had a nice crowd of regulars having a good ol time. In the video, Carole and I are occasionally audible. Wander Inn, I like the individual pieces, including Carole. We'll just chalk it up to a bad day for the cheesesteak.",86,,yes,no,yes,yes,no,no,1,$11.95,nice roll from small n philly bakery but it fell apart,?,15,meat was good.  ,17,"house made beer cheese wiz.  pretty darn tasty, not melted thru",18,came with fries and house made dipping sauce.  very good,19,"bartender nice guy, told us we missed Saturady specials and then proceed to list every daily special.",17,86,,,,"2500 S 3rd St, Philadelphia PA","2500 North 3rd Street, Philadelphia, Pennsylvania 19133, United States",39.989075,-75.138199
408,11/4/2019,Firepit,1029 E Woodland Ave,Springfield,PA,Delaware County,,pizza shop,This is a good Cheesesteak and a miss all in one. $9.56 after taxes and it had a good size. It had a very good amount of meat but it was a little dry. I got the stuffed Cheesesteak and it was stuffed with peppers and pepperoni and fried onions. I got provolone cheese and I could see the provolone cheese melting out of the back of my roll but it was really missing in the rest of the cheesesteak. This cheesecake a lot of good things and 2 not so good things. Good overall experience.,88,,no,no,yes,yes,yes'ish,no,?,$9.56 after tax,good standard roll,?,18,"meat, good amount but dry",18,"saw it melting out the back, stuck to roll.",15,good amount of extras.  extras were fresh and crispy.  I prefer on grill for a little bit,18,"$9.56, good size and flavor even though a little dry.",19,88,,,,"1029 E Woodland Ave, Springfield PA","1029 E Woodland Ave, Springfield, Pennsylvania 19064, United States",39.91293,-75.3316
409,11/4/2019,Two J's Sandwich Shop,619 Highland Ave,Chester ,PA,Delaware County,,sandwich shop,"It is always a nice surprise to see what I guess is 2nd/3rd generation sandwich shops still operating down in Chester. This was a very tasty traditional sandwich shop cheesesteak. I think the grill has been there as long as Two J’s and it's got some good Cheesesteak flavor baked into it. Not much to say. Pretty traditional sandwich shop cheesesteak. Nice baked in flavor. Crusty good eating roll. $8.50 after tax, you know I like that but I still would have liked a little more meat. Good cheesesteak.",86,,no,no,no,no,no,?,2?,$8.50 after tax,nice crusty good eating roll,?,18,meat had cooked old grill flavor.  needed more,16,good amount for the amount of meat.  very good melt,17,fried onions gave a nive flavor and good mix,18,"$8.50, very good flavor",17,86,,,,"619 Highland Ave, Chester  PA","619 Highland Avenue, Chester, Pennsylvania 19013, United States",39.835167,-75.393619
410,11/5/2019,Sitaly to go,1806 Marsh rd,Wilmington,DE,New Castle County,,pizza shop,I asked for garlic and I got garlic. This was a pleasant surprise. I walked into this location and I could smell garlic and good food. Based on smell I got the garlic bread cheesesteak. The Liscio roll was saturated in garlic butter and toasted lovely. Good amount of meat. Even with all the garlic I could still taste the fried onions and mushrooms. $9.45 you know I love that. The best part about this place is that it is near my house and Wilmington Brew Works so I have choices of where I can eat my cheesesteak.,90,,no,no,4 stools,no,yes,no,2?,$9.45,very good with a very good toast.  held up very well with a lot of garlic bread on it,Liscio,19,"meat, good amount, worked well with garlic, very edible",18,"okay amount of cheese, in video, cheese on bottom of CS.",17,garlic bread was very garlicy. nice pieces of onions and mushrooms,18,"Sitaly 'to go' so name tells you no amenities.  sidebar - they have sit down cafe on naaman's rd.  $9.45, very good size, I asked for garlic and garlic I got. ",18,90,,,,"1806 Marsh rd, Wilmington DE","1806 Marsh Road, Wilmington, Delaware 19810, United States",39.803391,-75.505125
411,11/6/2019,Johnny B's f/t Philadelphia Brewing,2403 E Allegheny Ave,Philadelphia,PA,Philadelphia County,Port Richmond,pizza shop,"Mixed in with all the churches on Allegheny Avenue is Johnny B's. We got Johnny B's special steak. It came with everything, fried onions, mushrooms, green peppers, pepperoni and sauce. We took our cheesesteak to the Philadelphia Brewing Company. This was a good cheesesteak but there was a lot going on and some of the flavors got lost. The green peppers came through the most and the meat came through the least. A thicker cut and bigger chunks of could be a simple solution. Big Cheesesteak, under $10 and we took it over to Philadelphia Brewing, good to very good overall experience.",88,,no,no,no,no,no,?,1,under $10,"good roll, held to a lot.",corropolesse,18,the meat got lost in everything,16,"good cheese, good melt and mix",18,a lot of good extras but they did not seem to work together.  green peppers over powered,18,take out only but you can take it to Philadelphia Brewing.  Under $10,18,88,,,,"2403 E Allegheny Ave, Philadelphia PA","2403 East Allegheny Avenue, Philadelphia, Pennsylvania 19134, United States",39.988071,-75.105519
412,11/6/2019,Kitty's luncheonette,2721 E Somerset St,Philadelphia,PA,Philadelphia County,Port Richmond,diner,"Holy mackerel what a great old school throwback luncheonette tucked away in the Port Richmond Section of Philadelphia. Holy mackerel what a tasty cheesesteak. When in Port Richmond do as a Port Richmondians do, we got sauteed garlic spinach on our cheesesteak. This Cheesesteak answers the question, what makes a great cheesesteak? It is one someone that knows how to make a cheese steak has great ingredients and is trying to make a great cheese steak, ie City of Brotherly Love, Love. Every piece of this Cheesesteak had flavor and every flavor came through. This was a great overall experience. Kitty's is cash only.",93,,no,no,yes,yes,no,yes,1,$10ish,Great toasted roll.  big CS w/a lot going on and it held together wonderfully,small n philly bakery,19,"good meat, good amount.  Was it a role player?",18,very good amount of cheese for the amount of meat.  great melt and mix,18,"garlic spinach, fried onions and mushrooms",19,loved Kitty's.  warm homey feeling. ,19,93,,,,"2721 E Somerset St, Philadelphia PA","2721 East Somerset Street, Philadelphia, Pennsylvania 19134, United States",39.978833,-75.111137
413,11/6/2019,Max's f/t Track 3 brewing,3653 Germantown Ave,Philadelphia,PA,Philadelphia County,North Philadelphia,sandwich shop,"Good size steak sandwich. They have a good grill man, he ran a big, busy Grill. We drove 45 minutes before we ate this Cheesesteak. The corropolese roll did not enjoy its time in the wrapper. I still like a corropolese roll. Dan is not a fan. I got green peppers on the cheesesteak because the meat looked dry. The green peppers sat on top while the mushrooms and fried onions got mixed in with meat. The guy who puts the toppings on the cheesesteaks and wraps them asked me for a tip after he let his friend butt in front of me. Not a bad cheesesteak. We ate Max's Cheesesteak at Track 3 microbrewery in Dresher. I love track 3. Dan was not a fan",82,,no,no,no but you can eat at bar that is connected,in bar,kind of,yes,1,$12.00,"sat in car for 45 minutes, got steamed. Dan didn't like it",corropolesse,17,"good amount, dry",16,"okay amount, no mix in",17,fired onions mushrooms were good and mixed in.  peppers on top,17,"good grill man, ran a big, busy good grill.  toppings man asked me for a tip after letting his friend but in front of me",15,82,,,,"3653 Germantown Ave, Philadelphia PA","3653 Germantown Avenue, Philadelphia, Pennsylvania 19140, United States",40.008951,-75.150445
414,11/6/2019,Philly's Phamous f/t Forest & Main,36 Tennis Ave,Ambler,PA,Montgomery county,,sandwich shop,"The roll was almost raw and that just made for a very bad experience. We got the special cheesesteak and it was a mushy mess. Dan bypassed the roll with a fork and was still very disappointed with the cheesesteak. We took the Cheesesteak to the Forest & Main Taproom. We sat on the couch on the stage. Unfortunately, nothing could help this cheesesteak. Disappointment all around us.",75,,no,no,yes,?,yes,no,1,under $10,"under cooked, ruined everything",?,10,"meat, okay",15,good amount of cheese and melt,17,lot of extras but did not work together,16,big disappointment.  young man at counter was great.  nice little place.,17,75,,,,"36 Tennis Ave, Ambler PA","36 Tennis Avenue, Ambler, Pennsylvania 19002, United States",40.157667,-75.225823
415,11/6/2019,Whitpain Tavern,1529 Dekalb Pike,Blue Bell,PA,Montgomery county,,Bar/restaurant,"This Cheesesteak was surprisingly Bland. Wednesday night, the parking lot was full, lots of events on the sign out front, big menu and diverse crowd had my hopes up for a much better cheesesteak. $8.75 and it came with the potato petal french fries that were delicious. The other food going past us smelled amazing. The guy next to us at the bar liked his dinner. Maybe our cheesesteak was a one-off. We got the De Kalb cheesesteak which comes spinach, peppers and provolone cheese on it. Our cheesesteak was the weak link in the Whitpain Tavern chain",81,,no,no,yes,yes,yes,no,1,$8.75,"Standard roll, bland",?,17,"okay meat, okay amount and chop",16,"i saw my cheese, dan's cheese got lost.",15,"spinach and peppers, they were plantiful but tasteless",15,"$8.75, big menu and all of the amenities.",18,81,,,,"1529 Dekalb Pike, Blue Bell PA","1529 Dekalb Pike, Blue Bell, Pennsylvania 19422, United States",40.154378,-75.303598
416,11/8/2019,Philly Pretzel factory,3601 Chichester Ave,Boothwyn,PA,Delaware County,,pretzel store,"This was definitely a pretzel with cheese steak inside it. It was good. It was under $5. Would I get him again, probably. I got sriracha sauce. It has a lot of pretzel so do you use mustard because it's a pretzel or a ketchup based sauce because it is a cheesesteak? That is all I could think about after eating these. For now these stay in the pretzel oddity category and not the cheesesteak in a pretzel bun category.",****,,no,no,no,no,kind of,no,1,,pretzel,there's,,"good meat, needed more",,nice cheese,,nice young woman gave a siriacha sauce,,"nice quick easy, in and out, under $5",,****,,,,"3601 Chichester Ave, Boothwyn PA","3601 Chichester Avenue, Upper Chichester, Pennsylvania 19061, United States",39.839884,-75.4422
417,11/9/2019,Lenape Pizza,1410 Lenape Rd,West Chester,Pa,chester county,,Pizza shop,"Saturday cheesesteaks with Carole. We got the buffalo cheesesteak. Public service announcement to all of you Young Bucks out there; when the woman you're with says she wants the Buffalo Cheesesteak you get the Buffalo Cheesesteak no matter how much it's going to tear up your stomach and all of the grief you're going to get on social media. Happy Carole, Happy Life. Back to the cheesesteak. This cheesesteak was all about the buffalo sauce. The rest of the cheesesteak was pretty standard. The buffalo sauce is pretty darn tasty. If you find yourself at Lenape Pizza I would absolutely recommend that you get something that day made from scratch. Under $10, you know I like that. Nice clean little place. The guy at the counter was great. Overall very good experience.",88,homemade buffalo sauce,no,no,yes,yes,yes,no,1,$9.53 after tax,standard but it worked well because it was all about the lenape buffalo sauce,?,16,good meat.  could have used more,16,"good amount for amount of meat, nice melt",17,lenape buffalo sauce,20,nice clean little place.  guy at counter was great. under $10,19,88,,,,"1410 Lenape Rd, West Chester Pa","1410 Lenape Road, West Chester, Pennsylvania 19382, United States",39.906429,-75.639554
418,11/9/2019,Sly Fox,520 Kimberton Rd,Phoenixville,PA,Chester county,,bar/restaurant,"This may be my #1 Cheesesteak for 2019. Shaved prime rib. Shaved prime rib. This is a cheesesteak aficionados cheesesteak, roll, meat & cheese. This is a Brewhouse aficionados cheesesteak, $6 24 oz draft. This is a Sunday afternoon watching Da Birds aficionados cheesesteak, many TVs in a big bar area. This is a after sitting on the kids soccer field sidelines aficionados cheesesteak, big menu - sidebar please let me know if the whole soccer team is coming so I can go somewhere else. Sesame seed roll, provolone cheese, sliced roast beef. $16, it did come with french fries and they had a 24 oz draft for $6 on the menu and it was amazing so I'm really torn about the $16. Overall great experience. PS Carole asks for well done french fries.",95,Shaved Prime Rib,yes,no,yes,yes,yes,no,1,$16.00,amazing sesame seed roll,?,19,"shaved prime rib, good amount, tender and juicy",19,"provolone, decent melt",18,"this CS did not need any extras, $6 24 oz draft",19,"Love this place. shaved prime rib, $6 24 oz draft, TVs, plenty of tables",20,95,,,,"520 Kimberton Rd, Phoenixville PA","520 Kimberton Road, Phoenixville, Pennsylvania 19460, United States",40.130612,-75.548317
419,11/14/2019,New Valley Tavern,1013 Germantown Pike,Plymouth Meeting,PA,Montgomery county,,bar,"If you want to enjoy a cigarette and beer with your Cheesesteak in the Plymouth Meeting area, New Valley Tavern is the place for you. I knew they allow smoking so I prepared myself for a lot of smoke. When I walked in I thought ‘it's not too bad’ but when I got back in my car I could smell the smoke on myself. Wood paneling and a cigarette machine. Good cheesesteak. The meat is the weak link. I got the valley steak, it comes with fried onions, mushrooms and peppers. The extras are cut in big chunks and they add a lot of flavor to the cheesesteak. Very good amount of cheese and is melted through everything perfectly. $8.25 for the cheesesteak and $3 for a draft, you know I like that. It was on the small side and I was able to eat the whole thing. I was prepared for the smoke so overall it was a very good experience.",88,,yes,yes,yes,yes,yes,no,1,$8.25,good traditional roll,?,18,"meat, weak link, needed flavor and more.",15,good amount and melt,18,nice big chunks and everything spent time together on the grill and played welltogether,19,"they do allow smoking.  $8.25 for CS and $3 for a draft, that's hard to beat.  paneling and a cigarrette machine",18,88,,,,"1013 Germantown Pike, Plymouth Meeting PA","1013 East Germantown Pike, Plymouth Meeting, Pennsylvania 19462, United States",40.128713,-75.300115
420,11/14/2019,T&N Homemade Kitchen,1820 W Moyamensing Ave,Philadelphia,PA,Philadelphia County,south philly,diner/,"Oh my goodness what a cool little old school neighborhood greasy spoon complete with owner (I think it was the owner) telling corny jokes. Apparently this is the home base of the ‘Jeet’ food truck. I was in South Philly so I got the cheese steak Italian, seeded roll, broccoli rabe and sharp provolone. According to my daughter, Karly I'm the only person in the world that didn't know sharp provolone had such a distinctive taste. I am still not sure if I'm a broccoli rabe fan but this broccoli rabe had a lot of flavor. Sorry but I could only give this cheesesteak a score of 89. It was full of flavor and I now completely understand how people can be happy sitting around eating a seeded roll and provolone cheese but it was $11 and it just needs to be bigger and the meat has to improve. Does broccoli rabe always have the more stalk than leafing parts? Very good overall experience and I wouldn't hesitate to go back for breakfast.",89,Cheesesteak Italian,no,no,yes,yes,no,no,1,"$11 for the ""CS Italian'",amazing seeded roll,?,19,meat may have been the weak link of this chain,16,"sharp provolone, who knew sharp provolone have such a distinctive taste",18,"broccoli rabe, still not sure I am a BR fan bu thtis was tasty, is there always like a stalk in BR",17,cool little old school neighborhood greasy spoon complete with bad jokes,19,89,,,,"1820 W Moyamensing Ave, Philadelphia PA","1820 West Moyamensing Avenue, Philadelphia, Pennsylvania 19145, United States",39.914338,-75.178121
421,11/15/2019,Jack's Firehouse,2130 Fairmount Ave,Philadelphia,PA,Philadelphia County,Art Museum,Bar/restaurant,"I love this venue. The Old Firehouse never looked better. I loved the nice heavy wood, decorations and the old fire pole. Unfortunately, The Cheesesteak was a huge disappointment. It came on a house-made fresh roll that I thought was just not right for a cheesesteak. It is a very good roll but it is very dense and every time I bit into my Cheesesteak everything squished out. The other two people that were eating at the bar had cheeseburgers they look really good. In the cheesesteak I know they use real meat because I got two big pieces of gristle. It was cheesy. The Cheesesteak does come with french fries but $18.75, holy mackerel, it needed it be bigger and have everything work together better. Everyone does get two free house made biscuits and a house made cookie.",79,,yes,no,yes,yes,no,no,1,$18.75,very good but not for a cheesesteak,house made,15,cut the gristle out and need a whole lot more,15,very cheesey,18,didn't add anything,15,great venue BUT$18.95 for a cheesesteak. did get free biscuits and cookie and beer was reasonable,16,79,,,,"2130 Fairmount Ave, Philadelphia PA","2130 Fairmount Avenue, Philadelphia, Pennsylvania 19130, United States",39.967069,-75.173295
422,11/16/2019,H&H Deli and catering,3495 Haddonfield Rd,Pennsauken,NJ,Camden County,,sandwich shop,"On one hand this was a good solid cheesesteak on the other we have some problems. The good news is there was a good amount of meat with a good amount of cheese melted and chopped together very nicely. The bad news, I saw the sign on the door that said they have to DiBruno rolls and got very excited unfortunately my DiBruno roll split apart. The other thing is I don't think my mushrooms spent any time on the grill. They were good mushrooms but I like it when the mushrooms spend some time on the grill with the meat and cheese. I think this could be a very good Cheesesteak connoisseurs Cheesesteak because normally a DiBruno roll is very good and it did have a good amount of meat and cheese chopped and melted together nicely.",89,,no,no,yes,?,yes,no,1?,$9.86 after tax,"split right down the back, otherwise okay",DiBruno,17,good amount of meat.  good eating meat. not finely chopped,19,very good amount and melt,18,good shrooms but wish they touch the grill,16,good size and taste for $9.86,19,89,,,,"3495 Haddonfield Rd, Pennsauken NJ","3495 Haddonfield Road, Pennsauken, New Jersey 08109, United States",39.961247,-75.025187
423,11/16/2019,Northeast Sandwich Company,1342 Bleigh Ave,Philadelphia,PA,Philadelphia County,Northeast Philly,sandwich shop,"Holy Mallard! DUCK! Quack, Quack, not a gimmick, not a fancy name, DUCK. I saw duck on the menu and I got it. Holy Mallard, I wish I lived closer to the Northeast Sandwich Company. What a menu! Pork roll cheese steak! Steak and eggs on Long roll. As far as the Duck Cheesesteak, I guess I liked it. What is duck supposed to taste like? I wish it had more smoked gouda cheese sauce. The smoked gouda cheese sauce was amazing and I thought the duck was a little dry. Very good overall experience. Who knew there was such great creative cooking going on in Northeast Philly.",*****,Duck cheesesteak,no,no,couple counters,i think so,no,no,1,$12.95,very nice traditional roll,Liscio's,,duck and plenty of it,,"smoked gouda cheese sauce, iwish there was more of it",,,,love this place wish I lived closer so I could try the whole menu,,0,,,,"1342 Bleigh Ave, Philadelphia PA","1342 Bleigh Avenue, Philadelphia, Pennsylvania 19111, United States",40.058985,-75.075402
424,11/17/2019,Tavern on the Hill,Germantown Ave,Philadelphia,Pa,Philadelphia County,North Philadelphia,bar/restaurant,"Very nice place. Very good cheesesteak. They don't kill you on the price. But this cheesesteak was oily. Very nice bar. Nice heavy wood decor. I guess it's what you would expect for Chestnut Hill. But not a killer Chestnut Hill price. I really want to love this cheesesteak but it was oily. The bartender said they have a pepper medley / concoction so I got it on my cheesesteak. I assume the oil came from that. The roll was good and it held together nicely. The meat was a nice thicker slice and more of a shred than a chop and it’s flavor came through in a very flavorful cheesesteak. The pepper medley/concoction was very flavorful, nice big thick chunks like I like but where the heck did all that oil come from. I went with provolone cheese and I'm really glad. This cheesesteak needed a heavy cheese. I am pretty sure I had a very good experience but where did all that darn oil come from.",89,,yes,no,yes,yes,no,no,1,$11.00,nice traditional roll.  held up very nicely to lots of oil,?,18,nice meat.  thicker slice and chop.  held it's own with lots of flavor competition,18,I got the provolone and it worked well with this cheesesteak and pepper concotion,18,I got the tavern of the hill pepper medoly (?) very flavorful but oilly,16,I liked this very much.  very nice place and they didn't kill me on price,19,89,,,,"Germantown Ave, Philadelphia Pa","Germantown Ave, Philadelphia, Pennsylvania 19140, United States",40.0156528,-75.155835
425,11/19/2019,Berwyn Tavern,625 Lancaster Ave,Berwyn,PA,Chester county,,bar/restaurant,"What makes a great cheesesteak? People like Phil trying to make a good cheesesteak. We got the flank steak cheesesteak. I hear flank steak and I think of a tough piece of meat. Luckily, Phil tries to make a good Cheesesteak and he marinated the flank steak perfectly. The roll held up very well. The fried onions and mushrooms were marinated and heated up magnificently. The cheese was melted in very nicely. This Cheesesteak was very well made. Thank you Phil. Very good experience at the Berwyn Tavern. In the full video you can see his frontperson Sondra.",91,,yes,no,yes,yes,kind of,no,1,$10.95,very good roll. held up to a lot of marinade,?,19,"very good meat, great taste and very edible.  please give me more meat",18,melted in nicely.  a lot going on in this cheesesteak so I would have liked more cheese,17,fried onions and mushrooms were marinated very well,18,love the berwyn tavern.  building from the 1700's,19,91,,,,"625 Lancaster Ave, Berwyn PA","625 East Lancaster Avenue, Berwyn, Pennsylvania 19312, United States",40.04821,-75.441036
426,11/19/2019,Bridgeside Deli f/t Levante Brewing,402 W High St,Phoenixville,PA,Chester county,,sandwich shop,"This place came up as a 4.8 on Google Maps. We went with the Bridgeside Deli & Grill Special Cheesesteak. Full disclosure, we did drive with this Cheesesteak for about 40 minutes. Actually the 40 minutes should have helped my concerns about this cheesesteak. Did the 4.8 set our expectations too high? I don't know. Very nice family, two generations working there but this Cheesesteak was just a miss. We pick on it in the video so I'll leave it at that.",86,,no,no,no,no,no,no,1,$8.95 Bridgeside deli special,"standard, it did travel over 40 mins.  not horrible",?,17,lot of meat.  not great meat,17,good amount and melt,17,good amount.  not good mix.  needed grill time,17,very nice people.  2 generations working and 3rd generation represented by art work on walls.,18,86,,,,"402 W High St, Phoenixville PA","402 West High Street, Phoenixville, Pennsylvania 19460, United States",40.137773,-75.518834
427,11/19/2019,Casey's Pour House,543 Lancaster Ave,Berwyn,PA,Chester county,,bar/restaurant,Casey did not strike out but he did not hit a homerun. This Cheesesteak leads off with a Conshohocken roll. The conshohocken roll is a great leadoff hitter. The position players really helped this cheesesteak. The mushrooms and fried onions spent some time together on the grill and were very tasty. There was a good amount of cheese. I just wish it was mixed in with the meat better. The meat was the weak Link in this cheesesteak. Casey's was not as well lit as I thought it was going to be for lunch. I had to use my other phone to light the Cheesesteak for the close-up pics. Good overall experience.,88,,yes,no,yes,yes,yes,no,1,$12.50,very good standard roll ,Conshohocken,18,weak link.  dry. needed flavor and more,16,good amount and pretty good melt,18,fried onions and mushrooms helped this CS a lot,19,dead atmosphere,17,88,,,,"543 Lancaster Ave, Berwyn PA","543 East Lancaster Avenue, Berwyn, Pennsylvania 19312, United States",40.048094,-75.437304
428,11/19/2019,Pepper's,175 Town Center Rd,King of Prussia,PA,Montgomery county,,Bar/restaurant,"We should have just turned around and left. It was just after lunchtime and they were still serving two private lunch parties. After we sat at the bar, an elderly gentleman approached the bartender to complain that his party of 6 had not gotten their food. We went with the special Cheesesteak named after the place, peppers. I liked the roll, Dan did not. We agreed that we did not like anything else about the cheesesteak but I'll leave that for the video. Robin was a champ and got us a piece of birthday cake and it was heavenly.",82,,yes,no,yes,yes,yes,no,1,$10.59,very standard,?,17,very standard,15,very standard.  sexy cheeses pull +2 pts,17,far too many peppers and the sauce was bland,15,Robin got us a piece of birthday cake.,18,82,,,,"175 Town Center Rd, King of Prussia PA","175 Town Center Rd, King of Prussia, Pennsylvania 19406, United States",40.0948,-75.36864
429,11/20/2019,Monty's sandwich Shop,354 2nd St Pike,Southampton,PA,Bucks County,,Sandwich shop,"I really wanted Monty’s to be great. Fun vibe at monty’s. My Cheesesteak did have a very good amount of very good meat. Unfortunately I had a catastrophic roll blowout. The cheese was minimal. When you have a lot of meat, you need a lot of cheese. I saw two mushrooms but I did not taste any mushrooms and fried onions we're pretty much non-existent. There is my dilemma, you have a very good amount of very good meat but the other two legs of the three-legged stool, roll and cheese, aren't up to the same standard. I hope this was a one-off because Monty’s seems like a very good place.",85,,no,no,yes,yes,yes,no,1,under $10,roll was standard.  I was talking and holding it in the air so that may have contributed to a blow out,?,16,very good amount of very good meat. good chop,18,i see the cheese on the bottom.  didn't really taste it when eating.  maybe steaming cheese on meat contributed to roll blow out????,17,almost non exsistent,16,did a lot of meat over shadow everything else????  I was really hoping Monty's was going to be great.,18,85,,,,"354 2nd St Pike, Southampton PA","354 2nd Street Pike, Southampton, Pennsylvania 18966, United States",40.16771,-75.04707
430,11/21/2019,Steve Stein's Famous Deli & Restaurant,1619 Grant Ave,Philadelphia,PA,Philadelphia County,Northeast Philly,Deli/sandwich shop,"Steve Stein talks the talk and the Jewish Cheesesteak walks the walk. I love me some pastrami. The seeded light and airing roll was fantabulous. The pastrami was sliced thin and very edible and tasty. The melted cheese and russian dressing made for a phenomenal finish to this amazing sandwich. $9.99 and it came with french fries. Nice little seating area, bathroom and day-old baked goods rack stocked with Danish and bagels, what more do you need? I had a nice little chat with the man sitting next to me. For the 14 year old in me there was a sign on the door that said ‘we have tongue.’ Very good overall experience.",90,The Jewish Cheesesteak,no,no,yes,yes,yes,no,1,$9.99,amazing light and airy seeded roll,prob Steve's,19,"thinly sliced pastrami, tastey, needed more",17,"very good cheese, very good melt",18,russian dressing just like pastrami needs,18,"nice little sitting area.  waitress ran a good area. clean, good, priced well.",18,90,,,,"1619 Grant Ave, Philadelphia PA","1619 Grant Avenue, Philadelphia, Pennsylvania 19115, United States",40.087934,-75.039032
